,ts_code,symbol,name,area,industry,list_date
0,000001.SZ,1,平安银行,深圳,银行,19910403
1,000002.SZ,2,万科A,深圳,全国地产,19910129
2,000004.SZ,4,ST国华,深圳,软件服务,19910114
3,000005.SZ,5,ST星源,深圳,环境保护,19901210
4,000006.SZ,6,深振业A,深圳,区域地产,19920427
5,000007.SZ,7,全新好,深圳,其他商业,19920413
6,000008.SZ,8,神州高铁,北京,运输设备,19920507
7,000009.SZ,9,中国宝安,深圳,电气设备,19910625
8,000010.SZ,10,美丽生态,深圳,建筑工程,19951027
9,000011.SZ,11,深物业A,深圳,区域地产,19920330
10,000012.SZ,12,南玻A,深圳,玻璃,19920228
11,000014.SZ,14,沙河股份,深圳,全国地产,19920602
12,000016.SZ,16,深康佳A,深圳,家用电器,19920327
13,000017.SZ,17,深中华A,深圳,服饰,19920331
14,000019.SZ,19,深粮控股,深圳,农业综合,19921012
15,000020.SZ,20,深华发A,深圳,元器件,19920428
16,000021.SZ,21,深科技,深圳,IT设备,19940202
17,000023.SZ,23,深天地A,深圳,水泥,19930429
18,000025.SZ,25,特力A,深圳,汽车服务,19930621
19,000026.SZ,26,飞亚达,深圳,服饰,19930603
20,000027.SZ,27,深圳能源,深圳,火力发电,19930903
21,000028.SZ,28,国药一致,深圳,医药商业,19930809
22,000029.SZ,29,深深房A,深圳,区域地产,19930915
23,000030.SZ,30,富奥股份,吉林,汽车配件,19930929
24,000031.SZ,31,大悦城,深圳,全国地产,19931008
25,000032.SZ,32,深桑达A,深圳,建筑工程,19931028
26,000034.SZ,34,神州数码,深圳,软件服务,19940509
27,000035.SZ,35,中国天楹,江苏,环境保护,19940408
28,000036.SZ,36,华联控股,深圳,全国地产,19940617
29,000037.SZ,37,深南电A,深圳,火力发电,19940701
30,000038.SZ,38,*ST大通,深圳,综合类,19940808
31,000039.SZ,39,中集集团,深圳,运输设备,19940408
32,000040.SZ,40,东旭蓝天,深圳,新型电力,19940808
33,000042.SZ,42,中洲控股,深圳,全国地产,19940921
34,000045.SZ,45,深纺织A,深圳,元器件,19940815
35,000046.SZ,46,泛海控股,北京,多元金融,19940912
36,000048.SZ,48,京基智农,深圳,区域地产,19941101
37,000049.SZ,49,德赛电池,深圳,电气设备,19950320
38,000050.SZ,50,深天马A,深圳,元器件,19950315
39,000055.SZ,55,方大集团,深圳,装修装饰,19960415
40,000056.SZ,56,皇庭国际,深圳,房产服务,19960708
41,000058.SZ,58,深赛格,深圳,商品城,19961226
42,000059.SZ,59,华锦股份,辽宁,石油加工,19970130
43,000060.SZ,60,中金岭南,深圳,铅锌,19970123
44,000061.SZ,61,农产品,深圳,农业综合,19970110
45,000062.SZ,62,深圳华强,深圳,元器件,19970130
46,000063.SZ,63,中兴通讯,深圳,通信设备,19971118
47,000065.SZ,65,北方国际,北京,建筑工程,19980605
48,000066.SZ,66,中国长城,深圳,IT设备,19970626
49,000068.SZ,68,华控赛格,深圳,环境保护,19970611
50,000069.SZ,69,华侨城A,深圳,旅游景点,19970910
51,000070.SZ,70,特发信息,深圳,通信设备,20000511
52,000078.SZ,78,海王生物,深圳,医药商业,19981218
53,000088.SZ,88,盐田港,深圳,港口,19970728
54,000089.SZ,89,深圳机场,深圳,机场,19980420
55,000090.SZ,90,天健集团,深圳,建筑工程,19990721
56,000096.SZ,96,广聚能源,深圳,石油贸易,20000724
57,000099.SZ,99,中信海直,深圳,空运,20000731
58,000100.SZ,100,TCL科技,广东,元器件,20040130
59,000150.SZ,150,*ST宜康,广东,生物制药,20000807
60,000151.SZ,151,中成股份,北京,商贸代理,20000906
61,000153.SZ,153,丰原药业,安徽,化学制药,20000920
62,000155.SZ,155,川能动力,四川,新型电力,20000926
63,000156.SZ,156,华数传媒,浙江,影视音像,20000906
64,000157.SZ,157,中联重科,湖南,工程机械,20001012
65,000158.SZ,158,常山北明,河北,软件服务,20000724
66,000159.SZ,159,国际实业,新疆,石油贸易,20000926
67,000166.SZ,166,申万宏源,新疆,证券,20150126
68,000301.SZ,301,东方盛虹,江苏,化纤,20000529
69,000333.SZ,333,美的集团,广东,家用电器,20130918
70,000338.SZ,338,潍柴动力,山东,汽车配件,20070430
71,000400.SZ,400,许继电气,河南,电气设备,19970418
72,000401.SZ,401,冀东水泥,河北,水泥,19960614
73,000402.SZ,402,金融街,北京,全国地产,19960626
74,000403.SZ,403,派林生物,山西,生物制药,19960628
75,000404.SZ,404,长虹华意,江西,家用电器,19960619
76,000407.SZ,407,胜利股份,山东,供气供热,19960703
77,000408.SZ,408,藏格矿业,青海,农药化肥,19960628
78,000409.SZ,409,云鼎科技,山东,软件服务,19960627
79,000410.SZ,410,*ST沈机,辽宁,机床制造,19960718
80,000411.SZ,411,英特集团,浙江,医药商业,19960716
81,000413.SZ,413,东旭光电,河北,元器件,19960925
82,000415.SZ,415,渤海租赁,新疆,多元金融,19960716
83,000416.SZ,416,民生控股,山东,多元金融,19960719
84,000417.SZ,417,合肥百货,安徽,百货,19960812
85,000419.SZ,419,通程控股,湖南,百货,19960816
86,000420.SZ,420,吉林化纤,吉林,化纤,19960802
87,000421.SZ,421,南京公用,江苏,供气供热,19960806
88,000422.SZ,422,湖北宜化,湖北,农药化肥,19960815
89,000423.SZ,423,东阿阿胶,山东,中成药,19960729
90,000425.SZ,425,徐工机械,江苏,工程机械,19960828
91,000426.SZ,426,兴业矿业,内蒙,铅锌,19960828
92,000428.SZ,428,华天酒店,湖南,酒店餐饮,19960808
93,000429.SZ,429,粤高速A,广东,路桥,19980220
94,000430.SZ,430,张家界,湖南,旅游景点,19960829
95,000488.SZ,488,晨鸣纸业,山东,造纸,20001120
96,000498.SZ,498,山东路桥,山东,建筑工程,19970609
97,000501.SZ,501,武商集团,湖北,百货,19921120
98,000503.SZ,503,国新健康,山东,软件服务,19921130
99,000504.SZ,504,南华生物,湖南,医疗保健,19921208
100,000505.SZ,505,京粮控股,海南,食品,19921221
101,000506.SZ,506,中润资源,山东,黄金,19930312
102,000507.SZ,507,珠海港,广东,港口,19930326
103,000509.SZ,509,华塑控股,四川,元器件,19930507
104,000510.SZ,510,新金路,四川,化工原料,19930507
105,000513.SZ,513,丽珠集团,广东,化学制药,19931028
106,000514.SZ,514,渝开发,重庆,区域地产,19930712
107,000516.SZ,516,国际医学,陕西,医疗保健,19930809
108,000517.SZ,517,荣安地产,浙江,区域地产,19930806
109,000518.SZ,518,四环生物,江苏,生物制药,19930908
110,000519.SZ,519,中兵红箭,湖南,专用机械,19931008
111,000520.SZ,520,长航凤凰,湖北,水运,19931025
112,000521.SZ,521,长虹美菱,安徽,家用电器,19931018
113,000523.SZ,523,广州浪奇,广东,日用化工,19931108
114,000524.SZ,524,岭南控股,广东,旅游服务,19931118
115,000525.SZ,525,ST红太阳,江苏,农药化肥,19931028
116,000526.SZ,526,学大教育,福建,文教休闲,19931101
117,000528.SZ,528,柳工,广西,工程机械,19931118
